segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_start_time_s,window_end_time_s,center_time_s,band_power_nm2,band_rms_nm,local_peak_frequency_hz
43deg_2,stable_43deg,2,38.5,175.2,177.195,176.1975,0.00039747166625532873,0.019936691457093092,37.5
43deg_2,stable_43deg,2,60.0,175.2,177.195,176.1975,0.0005354794752890088,0.023140429453426505,60.15625
43deg_2,stable_43deg,2,38.5,175.7,177.695,176.6975,0.00017375756588792717,0.01318171331382712,37.5
43deg_2,stable_43deg,2,60.0,175.7,177.695,176.6975,0.000568351479080474,0.023840123302543426,60.15625
43deg_2,stable_43deg,2,38.5,176.2,178.195,177.1975,0.00038384296275564736,0.019591910645867273,39.84375
43deg_2,stable_43deg,2,60.0,176.2,178.195,177.1975,0.0004731267187539813,0.021751476243096268,60.15625
10deg_3,stable_10deg,3,38.5,201.32,203.315,202.3175,0.00014420151482804556,0.01200839351570582,35.15625
10deg_3,stable_10deg,3,60.0,201.32,203.315,202.3175,0.00026414948256189646,0.016252676166154806,60.15625
10deg_3,stable_10deg,3,38.5,201.82,203.815,202.8175,0.0001747205539719276,0.013218190268411468,35.9375
10deg_3,stable_10deg,3,60.0,201.82,203.815,202.8175,0.00020119834150153073,0.014184440119424198,60.15625
10deg_3,stable_10deg,3,38.5,202.32,204.315,203.3175,0.0002484566519482119,0.015762507793755785,39.84375
10deg_3,stable_10deg,3,60.0,202.32,204.315,203.3175,0.0001782960233555461,0.013352753399787854,60.15625
10deg_3,stable_10deg,3,38.5,202.82,204.815,203.8175,0.0002215692461555584,0.014885202254439085,35.9375
10deg_3,stable_10deg,3,60.0,202.82,204.815,203.8175,0.00018484740699118823,0.013595859920990222,60.15625
10deg_3,stable_10deg,3,38.5,203.32,205.315,204.3175,0.00019207167974636167,0.01385899273924197,35.9375
10deg_3,stable_10deg,3,60.0,203.32,205.315,204.3175,0.0003013551872274768,0.017359584880620758,60.15625
10deg_3,stable_10deg,3,38.5,203.82,205.815,204.8175,0.0001661686457157314,0.01289064178835683,35.9375
10deg_3,stable_10deg,3,60.0,203.82,205.815,204.8175,0.00021747083183022134,0.014746892277026415,60.15625
10deg_3,stable_10deg,3,38.5,204.32,206.315,205.3175,8.161414355870551e-05,0.009034054657721832,35.9375
10deg_3,stable_10deg,3,60.0,204.32,206.315,205.3175,0.00021405813110158997,0.014630725583565225,60.15625
10deg_3,stable_10deg,3,38.5,204.82,206.815,205.8175,0.00013008469042748036,0.011405467567245121,39.84375
