time,CH1
26:30.798,1549.989494
26:30.799,1549.976672
26:30.800,1549.885322
26:30.800,1549.773954
26:30.801,1549.798790
26:30.803,1549.858079
26:30.809,1549.928592
26:30.814,1549.778761
26:30.818,1549.889329
26:30.824,1549.864489
26:30.854,1549.930996
26:30.859,1550.023153
26:30.859,1549.870899
26:30.860,1550.017543
26:30.860,1549.729892
26:30.861,1549.973467
26:30.861,1549.905354
26:30.864,1549.780363
26:30.868,1549.786772
26:30.873,1549.776357
26:30.879,1549.922181
26:30.884,1549.932598
26:30.911,1549.913367
26:30.916,1549.976672
26:30.918,1549.959042
26:30.920,1549.935002
26:30.920,1550.091276
26:30.921,1549.858079
26:30.921,1549.887726
26:30.923,1549.717875
26:30.929,1549.803597
26:30.934,1549.892534
26:30.939,1549.752323
26:30.943,1549.983885
26:30.975,1549.874906
26:30.981,1550.092879
26:30.981,1550.001515
26:30.982,1549.991898
26:30.982,1549.928592
26:30.983,1549.826030
26:30.983,1549.750721
26:30.984,1549.803597
26:30.989,1549.800392
26:30.994,1549.903752
26:30.999,1549.826030
26:31.004,1549.874906
26:31.039,1549.979878
26:31.044,1549.781965
26:31.045,1549.964652
26:31.045,1549.827633
26:31.045,1549.825229
26:31.046,1549.859682
26:31.046,1549.839651
26:31.048,1549.961446
26:31.049,1549.759533
26:31.053,1549.923784
26:31.058,1549.944618
26:31.063,1549.898944
26:31.068,1549.836446
26:31.096,1549.761135
26:31.100,1549.886123
26:31.101,1549.874104
26:31.102,1549.814814
26:31.102,1549.961446
26:31.104,1549.843657
26:31.105,1549.880515
26:31.109,1549.935002
26:31.114,1549.787573
26:31.119,1549.906957
26:31.124,1549.658596
26:31.128,1549.766743
26:31.156,1549.886123
26:31.162,1549.864489
26:31.162,1549.918175
26:31.163,1549.841254
26:31.163,1549.946221
26:31.165,1550.003118
26:31.166,1549.896540
26:31.169,1549.893335
26:31.174,1549.730693
26:31.178,1549.647382
26:31.183,1549.694644
26:31.189,1549.816416
26:31.219,1550.015139
26:31.225,1549.835645
26:31.226,1550.009529
26:31.226,1550.092077
26:31.227,1549.979878
26:31.227,1549.963049
26:31.228,1549.880515
26:31.228,1549.926989
26:31.234,1549.843657
26:31.239,1549.692240
26:31.243,1549.905354
26:31.248,1549.791579
26:31.281,1549.941413
26:31.287,1550.041585
26:31.287,1549.981480
26:31.288,1550.003118
26:31.288,1549.877309
26:31.288,1549.890130
26:31.289,1549.937406
26:31.289,1549.910162
26:31.293,1549.920579
26:31.298,1549.804398
26:31.303,1549.859682
26:31.309,1549.979076
26:31.313,1549.935804
26:31.340,1550.041585
26:31.347,1549.857278
26:31.348,1549.916572
26:31.348,1550.008727
26:31.349,1549.944618
26:31.349,1550.049600
26:31.349,1549.762738
26:31.353,1549.929393
26:31.359,1549.935804
